# 16777216 candidates per scheme; gist = mean OKLab distance x 100 on a 24 x 24 grid
scheme	target	rank	score	detail
hh salience	1	1	e0 c4 f4 d4	empty-pattern matches 6191, +colours 0
hh salience	1	2	e0 c4 f4 d5	empty-pattern matches 6191, +colours 0
hh salience	1	3	e0 c4 f5 d5	empty-pattern matches 6191, +colours 0
hh salience	1	4	e0 c4 f6 d3	empty-pattern matches 6191, +colours 0
hh salience	1	5	e0 c4 f6 d4	empty-pattern matches 6191, +colours 0
hh salience	2	1	e0 c3 f3 d3	empty-pattern matches 240, +colours 0
hh salience	2	2	e0 c4 f4 d3	empty-pattern matches 240, +colours 0
hh salience	2	3	e0 c4 f4 d5	empty-pattern matches 240, +colours 0
hh salience	2	4	e0 c4 f5 d3	empty-pattern matches 240, +colours 0
hh salience	2	5	e0 c4 f5 d5	empty-pattern matches 240, +colours 0
hh salience	3	1	e0 c4 f4 d6	empty-pattern matches 18703, +colours 0
hh salience	3	2	e0 c4 f6 d6	empty-pattern matches 18703, +colours 0
hh salience	3	3	e0 c4 f7 d4	empty-pattern matches 18703, +colours 0
hh salience	3	4	e0 c4 f7 d5	empty-pattern matches 18703, +colours 0
hh salience	3	5	e0 c4 f7 d5	empty-pattern matches 18703, +colours 0
hh salience	4	1	e0 c2 f6 d5	empty-pattern matches 55916, +colours 0
hh salience	4	2	e0 c4 f5 d6	empty-pattern matches 55916, +colours 0
hh salience	4	3	e0 c4 f6 d6	empty-pattern matches 55916, +colours 0
hh salience	4	4	e0 c4 f7 d5	empty-pattern matches 55916, +colours 0
hh salience	4	5	e0 c4 f7 d6	empty-pattern matches 55916, +colours 0
hh salience	5	1	e0 c4 f6 d6	empty-pattern matches 6119, +colours 0
hh salience	5	2	e0 c4 f7 d6	empty-pattern matches 6119, +colours 0
hh salience	5	3	e0 c4 f9 d1	empty-pattern matches 6119, +colours 0
hh salience	5	4	e0 c5 f3 d4	empty-pattern matches 6119, +colours 0
hh salience	5	5	e0 c5 f3 d6	empty-pattern matches 6119, +colours 0
hh salience	6	1	e0 c3 f6 d5	empty-pattern matches 2069, +colours 0
hh salience	6	2	e0 c3 f6 d6	empty-pattern matches 2069, +colours 0
hh salience	6	3	e0 c4 f3 d7	empty-pattern matches 2069, +colours 0
hh salience	6	4	e0 c4 f3 d7	empty-pattern matches 2069, +colours 0
hh salience	6	5	e0 c4 f6 d6	empty-pattern matches 2069, +colours 0
hh gist	1	1	11.72	e1 c7 f4 d1
hh gist	1	2	11.97	e2 c5 f4 d1
hh gist	1	3	12.37	e1 c6 f4 d2
hh gist	1	4	12.40	e3 c4 f3 d3
hh gist	1	5	12.55	e3 c5 f2 d2
hh gist	2	1	7.96	e3 c0 f2 d1
hh gist	2	2	8.32	e1 c5 f1 d2
hh gist	2	3	9.05	e0 c3 f3 d3
hh gist	2	4	9.09	e1 c3 f3 d2
hh gist	2	5	9.42	e1 c3 f4 d2
hh gist	3	1	10.89	e1 c5 f5 d0
hh gist	3	2	11.61	e4 c3 f2 d1
hh gist	3	3	11.98	e2 c4 f5 d2
hh gist	3	4	12.19	e1 c5 f3 d4
hh gist	3	5	12.49	e1 c5 f7 d1
hh gist	4	1	11.68	e2 c6 f3 d1
hh gist	4	2	11.79	e1 c4 f5 d2
hh gist	4	3	12.03	e2 c5 f3 d2
hh gist	4	4	12.21	e2 c5 f4 d1
hh gist	4	5	12.45	e3 c4 f4 d2
hh gist	5	1	10.62	e3 c4 f3 d0
hh gist	5	2	11.02	e3 c5 f3 d2
hh gist	5	3	11.45	e1 c4 f5 d3
hh gist	5	4	11.53	e2 c3 f4 d2
hh gist	5	5	11.54	e4 c4 f4 d0
hh gist	6	1	10.64	e1 c6 f3 d0
hh gist	6	2	10.69	e2 c3 f3 d3
hh gist	6	3	10.86	e3 c6 f1 d1
hh gist	6	4	11.14	e4 c2 f1 d2
hh gist	6	5	11.17	e1 c3 f5 d2
blockies gist	1	1	7.68	
blockies gist	1	2	7.85	
blockies gist	1	3	7.87	
blockies gist	1	4	7.91	
blockies gist	1	5	7.96	
blockies gist	2	1	11.67	
blockies gist	2	2	11.99	
blockies gist	2	3	12.13	
blockies gist	2	4	12.19	
blockies gist	2	5	12.38	
blockies gist	3	1	10.95	
blockies gist	3	2	11.23	
blockies gist	3	3	11.66	
blockies gist	3	4	11.75	
blockies gist	3	5	11.89	
blockies gist	4	1	14.03	
