palette	colours	ucs_min	ucs_min_at	ucs_min_pair	ucs_normal	ucs_protan_min	ucs_deutan_min	ucs_tritan	de2000_min_n/p/d/t	oklab_min_n/p/d/t	ucs_grey_min	ucs_to_frame_min	contrast_white_min	contrast_121212_min	gate
initial	#AB3745 #0048FF #EE7103 #18A1CB	16.9	tritan (brettel)	#0048FF-#18A1CB	29.2	24.7	23.3	16.9	31.0/18.5/19.4/16.6	20.1/20.4/20.1/13.8	0.0	26.5	3.00	3.00	fail
okabe-ito 4	#E69F00 #56B4E9 #009E73 #D55E00	12.5	tritan (brettel)	#56B4E9-#009E73	21.6	19.2	15.2	12.5	22.2/17.9/12.5/10.6	15.6/11.4/11.0/10.7	0.8	24.2	2.25	4.84	fail
petroff6 first 4	#5790FC #F89C20 #E42536 #964A8B	21.3	deutan 100%	#F89C20-#E42536	32.1	25.9	21.3	24.5	28.7/25.1/17.7/16.8	18.4/13.8/17.8/16.5	6.7	26.9	2.15	3.26	fail
refined from initial	#7899B2 #315FAC #915159 #EC4C0E	22.8	tritan (brettel)	#7899B2-#315FAC	25.4	24.9	25.4	22.8	22.2/22.2/24.3/18.3	18.1/12.1/16.3/17.1	1.3	16.7	3.00	3.00	pass
search 1	#6334FC #9791B0 #8D4F50 #FC6411	28.1	protan 100%	#8D4F50-#FC6411	30.5	28.1	28.2	28.2	29.1/21.0/24.1/23.8	19.5/17.0/17.9/17.1	0.1	15.0	3.00	3.00	pass
search 2	#31A3B0 #8905F6 #BD0F59 #B98F02	27.1	deutan 100%	#BD0F59-#B98F02	43.3	30.9	27.1	27.2	28.5/24.2/20.9/24.4	20.5/17.2/15.0/17.1	0.0	23.0	3.00	3.01	pass
search 3	#05A5AE #783CD3 #944A55 #FC640B	26.6	tritan (brettel)	#944A55-#FC640B	32.0	29.9	26.6	26.6	29.0/27.5/21.9/22.9	21.6/18.0/16.2/11.2	0.1	24.2	3.00	3.01	pass
refined from initial, frame-aware	#7697C4 #315FAC #A34F65 #FE5305	22.3	tritan (brettel)	#7697C4-#315FAC	23.0	22.3	23.1	22.3	21.0/19.4/22.3/17.8	18.4/12.0/15.3/17.5	2.4	20.7	3.00	3.00	pass
search 1, frame-aware	#30A3B0 #8806F5 #BD0D59 #BB8E05	27.1	deutan 100%	#BD0D59-#BB8E05	43.3	30.7	27.1	27.2	28.5/24.0/20.9/24.2	20.7/17.2/15.0/17.4	0.0	23.0	3.00	3.00	pass
search 2, frame-aware	#03A5AD #7541CB #944A55 #FC6416	26.6	tritan (brettel)	#944A55-#FC6416	31.5	29.7	26.7	26.6	28.4/28.0/22.3/22.9	20.3/18.0/16.1/11.2	0.0	24.2	3.00	3.01	pass
search 3, frame-aware	#981BCC #EB679F #82A009 #046F49	26.0	protan 100%	#981BCC-#EB679F	30.6	26.0	26.3	26.1	28.7/20.6/24.8/23.0	20.6/14.3/13.0/12.8	0.0	25.4	3.01	3.00	pass
picked, as is	#5790FC #F89C20 #E42536 #981BCC	16.4	deutan 100%	#5790FC-#981BCC	34.5	23.9	16.4	25.6	33.6/23.0/15.9/19.4	23.2/19.4/13.6/18.7	9.0	31.6	2.15	3.00	fail
picked, in the 3:1 band	#5790FC #D18319 #E42536 #981BCC	10.6	deutan 100%	#D18319-#E42536	29.4	22.8	10.6	19.8	31.4/22.1/9.2/15.5	17.4/17.2/8.3/14.0	0.8	31.4	3.01	3.00	fail
picked, tuned within 6	#6D93E6 #8838C6 #CF213D #E17A00	18.6	deutan 100%	#CF213D-#E17A00	29.2	23.1	18.6	18.7	29.7/21.7/16.3/16.9	18.0/19.5/13.9/14.5	0.1	27.6	3.01	3.06	fail
picked, tuned within 12	#7A96C5 #890AF0 #C10445 #D48200	24.1	deutan 100%	#C10445-#D48200	32.7	26.4	24.1	24.2	30.9/20.6/19.2/22.1	22.6/20.9/17.6/16.9	0.0	20.7	3.00	3.00	pass
picked, hue kept	#7D91E0 #8439C4 #B62E42 #D0810B	20.9	deutan 100%	#7D91E0-#8439C4	27.3	23.3	20.9	21.1	27.4/21.8/19.0/20.0	20.1/19.6/16.8/15.3	0.8	26.1	3.00	3.00	pass
alt violet, as is	#5790FC #F89C20 #E42536 #783CD3	17.0	deutan 100%	#5790FC-#783CD3	26.8	21.5	17.0	25.6	28.3/20.1/16.8/21.5	19.3/17.5/13.8/18.5	8.8	31.6	2.15	3.02	fail
alt violet, in the 3:1 band	#5790FC #D18319 #E42536 #783CD3	10.6	deutan 100%	#D18319-#E42536	26.8	21.5	10.6	19.8	28.3/20.1/9.2/15.5	17.4/17.2/8.3/14.0	0.8	31.4	3.01	3.02	fail
alt violet, tuned within 6	#6094EE #6D3DDE #CF213D #E17A00	18.6	deutan 100%	#CF213D-#E17A00	25.9	21.7	18.6	18.7	28.1/19.1/16.3/16.9	18.0/17.7/13.9/14.5	0.1	29.2	3.01	3.01	fail
alt violet, tuned within 12	#7A96C5 #890AF0 #C10345 #D48201	24.1	deutan 100%	#C10345-#D48201	32.7	26.4	24.1	24.2	30.9/20.6/19.2/22.1	22.6/20.9/17.6/16.9	0.0	20.7	3.00	3.00	pass
alt violet, hue kept	#6198D8 #644DC0 #B62F3D #C88605	21.8	deutan 100%	#6198D8-#644DC0	26.0	23.1	21.8	22.1	26.9/21.6/19.7/20.8	19.1/19.8/16.4/17.2	0.5	25.6	3.00	3.00	pass
